gene_id,domain
gene15184,7tm_1
gene20441,7tm_1
gene25860,7tm_1
gene24775,7tm_1
ENSSTOG00000026369,7tm_1
gene26198,7tm_1
gene9869,7tm_1
gene11443,7tm_1
gene19634,7tm_1
gene19619,7tm_1
gene25431,7tm_1
gene12900,7tm_1
gene23346,7tm_1
gene19641,7tm_1
gene25834,7tm_1
gene19628,7tm_1
gene25304,7tm_1
gene21970,7tm_1
gene19635,7tm_1
gene14452,7tm_1
gene23666,7tm_1
gene21974,7tm_1
gene4775,7tm_1
gene21976,7tm_1
gene25997,7tm_1
gene24867,7tm_1
ENSSTOG00000019607,7tm_1
gene19622,7tm_1
gene23571,7tm_1
gene6661,7tm_1
gene5324,7tm_1
gene15416,7tm_1
gene25987,7tm_1
gene25305,7tm_1
gene21865,7tm_1
gene12893,7tm_1
gene25657,7tm_1
gene24776,7tm_1
gene19636,7tm_1
gene25303,7tm_1
gene6664,7tm_1
ENSSTOG00000019874,7tm_1
gene25298,7tm_1
gene12907,7tm_1
gene22104,7tm_1
ENSSTOG00000033687,7tm_1
gene10012,7tm_1
gene12906,7tm_1
gene10120,7tm_1
gene24848,7tm_1
gene23966,7tm_1
gene25444,7tm_1
ENSSTOG00000033222,7tm_1
ENSSTOG00000033958,7tm_1
gene24984,7tm_1
gene24016,7tm_1
gene25801,7tm_1
gene21285,7tm_1
gene14337,7tm_1
gene23572,7tm_1
G10736,7tm_1
gene19859,7tm_1
gene12924,7tm_1
ENSSTOG00000009780,7tm_1
gene10002,7tm_1
gene14372,7tm_1
gene21960,7tm_1
G21003,7tm_1
ENSSTOG00000031219,7tm_1
ENSSTOG00000029721,7tm_1
gene24428,7tm_1
ENSSTOG00000030671,7tm_1
G15199,7tm_1
gene24999,7tm_1
ENSSTOG00000032360,7tm_1
gene23570,7tm_1
gene24684,7tm_1
G4822,7tm_1
gene24429,7tm_1
gene26315,7tm_1
gene24439,7tm_1
gene24432,7tm_1
gene21986,7tm_1
gene24690,7tm_1
gene24683,7tm_1
gene26090,7tm_1
ENSSTOG00000019533,7tm_1
ENSSTOG00000034333,7tm_1
gene14941,7tm_2
gene18691,7tm_2
gene2622,7tm_2
gene2623,7tm_2
gene25771,7tm_2
gene7262,7tm_3
G19331,7tm_3
gene24867,7tm_4
gene25455,7tm_4
gene25454,7tm_4
gene6661,7tm_4
gene23571,7tm_4
gene6664,7tm_4
gene24848,7tm_4
gene25444,7tm_4
gene23572,7tm_4
gene4767,7tm_4
gene21838,7tm_4
gene4765,7tm_4
gene4770,7tm_4
gene23544,7tm_4
gene15721,7tm_4
ENSSTOG00000021418,7tm_4
gene22839,7tm_4
ENSSTOG00000026369,7tm_4
gene26198,7tm_4
gene24913,7tm_4
ENSSTOG00000030408,7tm_4
gene15415,7tm_4
gene23546,7tm_4
gene15015,7tm_4
gene15767,7tm_4
gene26260,7tm_4
gene4775,7tm_4
gene4764,7tm_4
gene24877,7tm_4
gene15754,7tm_4
ENSSTOG00000021815,7tm_4
gene24876,7tm_4
gene23991,7tm_4
gene11625,7tm_4
gene23830,7tm_4
gene12900,7tm_4
gene20237,7tm_4
gene15022,7tm_4
gene25265,7tm_4
gene22104,7tm_4
gene24305,7tm_4
gene25900,7tm_4
gene25305,7tm_4
gene25375,7tm_4
gene24930,7tm_4
G28225,7tm_4
gene25303,7tm_4
gene18709,7tm_4
gene8354,7tm_4
gene25304,7tm_4
gene21266,7tm_4
gene14452,7tm_4
gene24014,7tm_4
gene19636,7tm_4
gene21975,7tm_4
gene23966,7tm_4
gene12694,7tm_4
gene25268,7tm_4
gene24309,7tm_4
gene24022,7tm_4
gene21965,7tm_4
gene16628,7tm_4
gene25261,7tm_4
gene24307,7tm_4
gene12906,7tm_4
G18969,7tm_4
gene25262,7tm_4
gene12907,7tm_4
ENSSTOG00000019607,7tm_4
gene26005,7tm_4
gene25860,7tm_4
gene25851,7tm_4
gene19634,7tm_4
gene21976,7tm_4
gene24799,7tm_4
gene11443,7tm_4
gene25657,7tm_4
gene23346,7tm_4
G34560,7tm_4
gene19635,7tm_4
gene24932,7tm_4
gene25497,7tm_4
gene12893,7tm_4
gene23570,7tm_4
gene25266,7tm_4
gene24021,7tm_4
gene21970,7tm_4
gene20441,7tm_4
gene19859,7tm_4
gene15184,7tm_4
gene26054,7tm_4
gene10120,7tm_4
gene25269,7tm_4
gene25997,7tm_4
gene24775,7tm_4
gene21865,7tm_4
gene25834,7tm_4
ENSSTOG00000019874,7tm_4
gene24794,7tm_4
gene24776,7tm_4
gene19623,7tm_4
gene24984,7tm_4
gene24774,7tm_4
ENSSTOG00000009780,7tm_4
gene5324,7tm_4
gene25801,7tm_4
gene19628,7tm_4
gene24906,7tm_4
gene25431,7tm_4
gene14372,7tm_4
gene25967,7tm_4
gene19622,7tm_4
gene6760,7tm_4
gene25987,7tm_4
gene21974,7tm_4
gene25066,7tm_4
gene19621,7tm_4
gene21960,7tm_4
gene25298,7tm_4
gene12924,7tm_4
gene6761,7tm_4
gene21285,7tm_4
gene14337,7tm_4
gene9869,7tm_4
gene23666,7tm_4
ENSSTOG00000033687,7tm_4
gene19641,7tm_4
gene15416,7tm_4
gene24999,7tm_4
ENSSTOG00000031324,7tm_4
ENSSTOG00000030671,7tm_4
gene21986,7tm_4
ENSSTOG00000019533,7tm_4
gene24910,7tm_4
gene19619,7tm_4
ENSSTOG00000033222,7tm_4
ENSSTOG00000029041,7tm_4
ENSSTOG00000031219,7tm_4
ENSSTOG00000029721,7tm_4
gene24942,7tm_4
ENSSTOG00000033958,7tm_4
gene24785,7tm_4
ENSSTOG00000034333,7tm_4
gene24123,7tm_4
gene24016,7tm_4
G21003,7tm_4
gene26265,7tm_4
gene24929,7tm_4
gene20114,7tm_4
G4822,7tm_4
gene26159,7tm_4
G9112,7tm_4
ENSSTOG00000032360,7tm_4
gene2163,7tm_4
gene12737,7tm_4
gene15567,7TM_GPCR_Srab
gene10012,7TM_GPCR_Srbc
gene15849,7TM_GPCR_Srd
G18138,7TM_GPCR_Srh
G9112,7TM_GPCR_Srsx
gene4765,7TM_GPCR_Srsx
gene4767,7TM_GPCR_Srsx
gene23571,7TM_GPCR_Srsx
gene24942,7TM_GPCR_Srsx
gene20114,7TM_GPCR_Srsx
gene24848,7TM_GPCR_Srsx
gene19621,7TM_GPCR_Srsx
gene25455,7TM_GPCR_Srsx
gene21838,7TM_GPCR_Srsx
gene6661,7TM_GPCR_Srsx
gene12737,7TM_GPCR_Srsx
gene15754,7TM_GPCR_Srsx
G3442,7TM_GPCR_Srsx
gene2163,7TM_GPCR_Srsx
gene25444,7TM_GPCR_Srsx
gene15565,7TM_GPCR_Srsx
gene24877,7TM_GPCR_Srsx
gene1230,7TM_GPCR_Srsx
gene24799,7TM_GPCR_Srsx
gene25851,7TM_GPCR_Srsx
gene26054,7TM_GPCR_Srsx
gene24913,7TM_GPCR_Srsx
gene24794,7TM_GPCR_Srsx
gene15015,7TM_GPCR_Srsx
gene24785,7TM_GPCR_Srsx
gene23546,7TM_GPCR_Srsx
gene23346,7TM_GPCR_Srsx
gene21266,7TM_GPCR_Srsx
gene26159,7TM_GPCR_Srsx
gene4764,7TM_GPCR_Srsx
gene25262,7TM_GPCR_Srsx
gene26005,7TM_GPCR_Srsx
gene15022,7TM_GPCR_Srsx
gene12900,7TM_GPCR_Srsx
gene25431,7TM_GPCR_Srsx
gene24910,7TM_GPCR_Srsx
gene25860,7TM_GPCR_Srsx
gene15567,7TM_GPCR_Srsx
gene24932,7TM_GPCR_Srsx
gene4770,7TM_GPCR_Srsx
gene25454,7TM_GPCR_Srsx
gene25269,7TM_GPCR_Srsx
gene23572,7TM_GPCR_Srsx
gene20441,7TM_GPCR_Srsx
gene25657,7TM_GPCR_Srsx
gene25265,7TM_GPCR_Srsx
gene6760,7TM_GPCR_Srsx
gene15767,7TM_GPCR_Srsx
gene19634,7TM_GPCR_Srsx
gene25268,7TM_GPCR_Srsx
gene24930,7TM_GPCR_Srsx
gene11625,7TM_GPCR_Srsx
gene19641,7TM_GPCR_Srsx
gene26260,7TM_GPCR_Srsx
gene6664,7TM_GPCR_Srsx
gene25900,7TM_GPCR_Srsx
gene25261,7TM_GPCR_Srsx
ENSSTOG00000026369,7TM_GPCR_Srsx
gene26198,7TM_GPCR_Srsx
gene9869,7TM_GPCR_Srsx
G28225,7TM_GPCR_Srsx
gene24014,7TM_GPCR_Srsx
gene15721,7TM_GPCR_Srsx
gene20237,7TM_GPCR_Srsx
gene19636,7TM_GPCR_Srsx
ENSSTOG00000030408,7TM_GPCR_Srsx
gene15415,7TM_GPCR_Srsx
gene24906,7TM_GPCR_Srsx
gene24776,7TM_GPCR_Srsx
ENSSTOG00000021815,7TM_GPCR_Srsx
gene24876,7TM_GPCR_Srsx
gene24774,7TM_GPCR_Srsx
gene19622,7TM_GPCR_Srsx
gene25066,7TM_GPCR_Srsx
gene24867,7TM_GPCR_Srsx
gene18709,7TM_GPCR_Srsx
gene23570,7TM_GPCR_Srsx
gene25967,7TM_GPCR_Srsx
gene15184,7TM_GPCR_Srsx
gene4775,7TM_GPCR_Srsx
gene24021,7TM_GPCR_Srsx
gene25303,7TM_GPCR_Srsx
gene6761,7TM_GPCR_Srsx
gene21965,7TM_GPCR_Srsx
gene21975,7TM_GPCR_Srsx
gene15416,7TM_GPCR_Srsx
gene16628,7TM_GPCR_Srsx
G18969,7TM_GPCR_Srsx
gene12300,7TM_GPCR_Srsx
gene19619,7TM_GPCR_Srsx
gene11443,7TM_GPCR_Srsx
gene5324,7TM_GPCR_Srsx
gene19635,7TM_GPCR_Srsx
gene25266,7TM_GPCR_Srsx
gene24775,7TM_GPCR_Srsx
gene14452,7TM_GPCR_Srsx
gene23966,7TM_GPCR_Srsx
gene12694,7TM_GPCR_Srsx
G3442,7TM_GPCR_Srv
gene20237,7TM_GPCR_Srv
gene11625,7TM_GPCR_Srv
gene23830,7TM_GPCR_Srv
gene13507,7TM_GPCR_Srv
gene19641,7TM_GPCR_Srv
gene24430,7TM_GPCR_Srv
gene23991,7TM_GPCR_Srv
G9112,7TM_GPCR_Srw
gene1230,7TM_GPCR_Srx
gene10012,7TM_GPCR_Srx
gene12737,7TM_GPCR_Srx
gene10002,7TM_GPCR_Srx
G9112,7TM_GPCR_Srx
gene15567,7TM_GPCR_Srx
gene4767,7TM_GPCR_Srx
gene24913,7TM_GPCR_Srx
gene24942,7TM_GPCR_Srx
gene4765,7TM_GPCR_Srx
gene19641,7TM_GPCR_Srx
gene4770,7TM_GPCR_Srx
gene24877,7TM_GPCR_Srx
gene24930,7TM_GPCR_Srx
gene26159,7TM_GPCR_Srx
gene15754,7TM_GPCR_Srx
gene2714,A1_Propeptide
gene25140,A2M
gene25140,A2M_comp
G25565,A2M_comp
G25553,A2M_comp
gene4743,A2M_N
G25564,A2M_N
gene25140,A2M_N
gene21577,A2M_N
gene4743,A2M_N_2
gene25140,A2M_recep
gene17855,AAA
gene25709,AAA
ENSSTOG00000032665,AAA
gene21708,AAA
ENSSTOG00000029469,AAA
ENSSTOG00000004339,AAA
gene22884,AAA
gene25365,AAA
ENSSTOG00000031280,AAA
ENSSTOG00000030758,AAA
ENSSTOG00000033236,AAA_11
ENSSTOG00000004339,AAA_11
ENSSTOG00000029469,AAA_11
ENSSTOG00000033236,AAA_12
gene8463,AAA_13
G38482,AAA_13
gene1404,AAA_13
ENSSTOG00000031280,AAA_14
gene18616,AAA_14
gene10858,AAA_15
gene20291,AAA_15
gene20290,AAA_15
ENSSTOG00000004339,AAA_16
ENSSTOG00000032665,AAA_16
gene21708,AAA_16
ENSSTOG00000029469,AAA_16
ENSSTOG00000031280,AAA_16
gene10988,AAA_16
gene17855,AAA_16
gene25709,AAA_16
ENSSTOG00000030758,AAA_17
ENSSTOG00000030758,AAA_18
ENSSTOG00000031280,AAA_18
ENSSTOG00000004339,AAA_19
ENSSTOG00000033236,AAA_19
ENSSTOG00000032665,AAA_2
gene17855,AAA_2
gene25709,AAA_2
gene20290,AAA_21
gene20291,AAA_21
gene10858,AAA_21
ENSSTOG00000033918,AAA_21
ENSSTOG00000031280,AAA_21
gene20024,AAA_21
gene6997,AAA_21
gene20016,AAA_21
gene25365,AAA_22
gene22884,AAA_22
ENSSTOG00000004339,AAA_22
ENSSTOG00000032665,AAA_22
gene17855,AAA_22
gene25709,AAA_22
ENSSTOG00000031280,AAA_22
ENSSTOG00000033236,AAA_22
gene21708,AAA_22
gene10988,AAA_22
gene20291,AAA_22
ENSSTOG00000029469,AAA_22
gene20291,AAA_23
gene10858,AAA_23
gene20024,AAA_23
gene18440,AAA_23
gene20290,AAA_23
ENSSTOG00000031280,AAA_23
ENSSTOG00000004339,AAA_24
gene21708,AAA_24
ENSSTOG00000031280,AAA_24
ENSSTOG00000029469,AAA_24
ENSSTOG00000031280,AAA_25
ENSSTOG00000031280,AAA_28
ENSSTOG00000031280,AAA_29
gene20291,AAA_29
gene10858,AAA_29
gene20290,AAA_29
ENSSTOG00000033236,AAA_30
ENSSTOG00000031280,AAA_30
ENSSTOG00000032665,AAA_33
gene21708,AAA_33
ENSSTOG00000031280,AAA_33
ENSSTOG00000032665,AAA_5
gene17855,AAA_5
gene22884,AAA_5
ENSSTOG00000004339,AAA_5
gene25365,AAA_5
gene25709,AAA_5
ENSSTOG00000031280,AAA_5
ENSSTOG00000029469,AAA_assoc_2
ENSSTOG00000021396,AA_permease
ENSSTOG00000021396,AA_permease_2
ENSSTOG00000031588,AA_permease_2
gene8824,Aa_trans
gene20024,ABC2_membrane
gene20016,ABC2_membrane
gene20019,ABC2_membrane
gene20016,ABC2_membrane_2
gene20291,ABC2_membrane_3
gene20290,ABC2_membrane_3
gene10861,ABC2_membrane_3
gene10858,ABC2_membrane_3
gene20024,ABC2_membrane_3
gene20290,ABC_tran
gene20291,ABC_tran
gene10858,ABC_tran
ENSSTOG00000031280,ABC_tran
gene20024,ABC_tran
gene20016,ABC_tran
ENSSTOG00000033918,ABC_tran
gene25696,ABC_tran
gene20019,ABC_tran
gene9948,ABC_tran
gene20018,ABC_tran
gene25365,ABC_tran
gene22884,ABC_tran
gene6997,ABC_tran
gene10988,ABC_tran
gene9946,ABC_tran
gene16291,Abhydrolase_1
ENSSTOG00000020241,Abhydrolase_1
gene21643,Abhydrolase_1
gene4527,Abhydrolase_1
gene2223,Abhydrolase_3
gene2326,Abhydrolase_3
gene2321,Abhydrolase_3
ENSSTOG00000019872,Abhydrolase_3
gene2323,Abhydrolase_3
gene2226,Abhydrolase_3
gene2225,Abhydrolase_3
ENSSTOG00000020241,Abhydrolase_6
gene4527,Abhydrolase_6
gene16291,Abhydro_lipase
gene21643,Abhydro_lipase
gene5796,Acetyltransf_1
gene5802,Acetyltransf_1
gene5797,Acetyltransf_1
G7663,Acetyltransf_1
gene5795,Acetyltransf_1
gene5802,Acetyltransf_10
gene5797,Acetyltransf_10
G7663,Acetyltransf_10
gene5796,Acetyltransf_10
gene5795,Acetyltransf_10
gene12328,Acetyltransf_2
gene5796,Acetyltransf_3
G7663,Acetyltransf_3
gene5795,Acetyltransf_3
gene5802,Acetyltransf_3
gene5796,Acetyltransf_4
G7663,Acetyltransf_4
gene5795,Acetyltransf_4
gene5802,Acetyltransf_4
gene5797,Acetyltransf_4
gene5796,Acetyltransf_7
gene5802,Acetyltransf_7
gene5795,Acetyltransf_7
gene5797,Acetyltransf_7
G7663,Acetyltransf_7
G7663,Acetyltransf_8
gene5796,Acetyltransf_8
gene5797,Acetyltransf_8
gene5802,Acetyltransf_8
gene5802,Acetyltransf_9
gene5796,Acetyltransf_9
gene5797,Acetyltransf_9
gene12034,Acetyltransf_9
G7663,Acetyltransf_9
gene5795,Acetyltransf_9
gene5796,Acetyltransf_CG
G7663,Acetyltransf_CG
gene5795,Acetyltransf_CG
gene5802,Acetyltransf_CG
gene5797,Acetyltransf_CG
gene21152,Acid_PPase
gene1531,ACP_syn_III_C
ENSSTOG00000026064,Actin
ENSSTOG00000025472,Actin
ENSSTOG00000030693,Actin
gene21467,Activin_recp
gene23869,Acyl-CoA_dh_M
gene23869,Acyl-CoA_dh_N
gene18691,Acyl-CoA_ox_N
gene6581,Acyl_transf_3
gene8861,ADAM_CR
gene13704,ADAM_CR
G14203,ADAM_CR
G14201,ADAM_CR
gene12247,ADAM_CR
gene12637,ADAM_CR
gene12636,ADAM_CR
gene23605,ADAM_CR
ENSSTOG00000015494,Adap_comp_sub
ENSSTOG00000034456,Adap_comp_sub
G15228,Adeno_E3_CR1
gene25831,Adeno_E3_CR1
gene4398,Adeno_E3_CR1
gene11279,Adhes-Ig_like
gene9115,ADH_N
gene21171,adh_short
gene15401,adh_short
gene21173,adh_short
gene15400,adh_short
gene6459,adh_short
gene7035,adh_short
G35397,adh_short
gene6185,adh_short
gene21171,adh_short_C2
gene15400,adh_short_C2
gene21173,adh_short_C2
gene15401,adh_short_C2
gene6459,adh_short_C2
gene7035,adh_short_C2
gene6185,adh_short_C2
G35397,adh_short_C2
gene9115,ADH_zinc_N
gene9114,ADH_zinc_N
gene9114,ADH_zinc_N_2
gene9115,ADH_zinc_N_2
G3540,ADIP
G37102,ADIP
G9500,ADIP
G40072,ADIP
gene8463,ADIP
ENSSTOG00000033816,Adipogenin
gene17328,ADK_lid
gene15728,ADK_lid
gene25952,ADK_lid
gene22949,ADK_lid
gene16509,ADK_lid
gene24424,ADK_lid
gene20866,ADK_lid
gene15730,ADK_lid
gene24422,ADK_lid
gene3029,ADK_lid
gene15731,ADK_lid
G11891,ADK_lid
gene24418,ADK_lid
gene15084,ADK_lid
gene15726,ADK_lid
gene25116,ADK_lid
G30901,ADK_lid
gene20913,ADK_lid
gene15724,ADK_lid
gene25077,ADK_lid
ENSSTOG00000022967,ADSL_C
G22692,Afaf
G4196,AFG1_ATPase
ENSSTOG00000023745,AhpC-TSA
gene15547,AhpC-TSA
gene17455,AhpC-TSA
gene9948,AIG1
gene9946,AIG1
gene10988,AIG1
G21117,Aim19
gene3731,AlaDh_PNT_C
ENSSTOG00000033286,Aldose_epim
gene26012,Aldose_epim
gene4163,Aldo_ket_red
gene4167,Aldo_ket_red
gene1666,Aldo_ket_red
ENSSTOG00000023204,Aldo_ket_red
gene23742,Aldo_ket_red
gene21356,Ald_Xan_dh_C
gene23325,Ald_Xan_dh_C
gene21356,Ald_Xan_dh_C2
gene23325,Ald_Xan_dh_C2
G29446,Alkyl_sulf_C
gene9691,Alk_phosphatase
ENSSTOG00000029207,Alk_phosphatase
gene16630,AlphaC_N
gene16631,AlphaC_N
gene18003,AlphaC_N
gene26104,AlphaC_N
gene18010,AlphaC_N
gene18007,AlphaC_N
gene14088,Amidase_2
ENSSTOG00000026322,Aminotran_1_2
ENSSTOG00000022563,Aminotran_1_2
gene13022,Aminotran_1_2
gene7243,AMP-binding
gene7241,AMP-binding
gene7241,AMP-binding_C
gene7243,AMP-binding_C
ENSSTOG00000025269,ANAPC15
gene8146,ANAPC3
gene16286,ANAPC3
gene16289,ANAPC3
ENSSTOG00000031367,ANAPC4_WD40
gene14652,ANAPC4_WD40
ENSSTOG00000029243,ANAPC4_WD40
gene2478,ANAPC4_WD40
gene4743,ANATO
gene13847,ANF_receptor
gene6785,ANF_receptor
gene13581,Ank
gene26121,Ank
G3420,Ank
gene15933,Ank
ENSSTOG00000023565,Ank
ENSSTOG00000016391,Ank
ENSSTOG00000004856,Ank
gene18369,Ank
G3420,Ank_2
gene13581,Ank_2
gene15933,Ank_2
gene26121,Ank_2
ENSSTOG00000004856,Ank_2
ENSSTOG00000023565,Ank_2
ENSSTOG00000016391,Ank_2
gene18369,Ank_2
gene6700,Ank_2
G12002,Ank_2
G3420,Ank_3
gene13581,Ank_3
gene26121,Ank_3
ENSSTOG00000023565,Ank_3
ENSSTOG00000004856,Ank_3
gene15933,Ank_3
ENSSTOG00000016391,Ank_3
gene18369,Ank_3
G12002,Ank_3
gene6700,Ank_3
gene13581,Ank_4
G3420,Ank_4
gene26121,Ank_4
gene15933,Ank_4
ENSSTOG00000004856,Ank_4
ENSSTOG00000016391,Ank_4
ENSSTOG00000023565,Ank_4
gene18369,Ank_4
G12002,Ank_4
G3420,Ank_5
gene13581,Ank_5
gene26121,Ank_5
gene15933,Ank_5
ENSSTOG00000016391,Ank_5
ENSSTOG00000004856,Ank_5
ENSSTOG00000023565,Ank_5
gene18369,Ank_5
G12002,Ank_5
gene12299,Annexin
G1323,Anth_Ig
G16514,ANXA2R
G16380,ANXA2R
G66,ANXA2R
gene22926,An_peroxidase
G3468,AP4E_app_platf
gene19616,APG12
G39360,APH
ENSSTOG00000029244,APH
gene5888,APH
G34975,APH
G39367,APH
gene23735,APH
gene26168,APOBEC_C
gene26168,APOBEC_N
G14653,Apolipoprotein
G24897,Apolipo_F
gene8462,ApoLp-III
ENSSTOG00000030884,ApoO
gene24422,Arc_trans_TRASH
gene24424,Arc_trans_TRASH
gene26228,Arc_trans_TRASH
gene24418,Arc_trans_TRASH
ENSSTOG00000031777,Arf
ENSSTOG00000033383,Arf
ENSSTOG00000031332,Arf
gene15059,Arf
G1221,Arf
gene13989,Arf
ENSSTOG00000032123,Arf
ENSSTOG00000033408,Arf
ENSSTOG00000034332,Arf
gene1943,ArgoL1
G13180,ArgoL1
gene1943,ArgoL2
gene1943,ArgoMid
gene1943,ArgoN
gene441,Arm
gene13421,ASH
gene13420,ASH
gene7433,ASH
gene2714,Asp
G40119,Asp_protease_2
G37042,Asp_protease_2
G9868,Asp_protease_2
G16753,Asp_protease_2
G17187,Asp_protease_2
G33820,Asp_protease_2
G36715,Asp_protease_2
G24648,Asp_protease_2
G10810,Asp_protease_2
G14556,Asp_protease_2
G27828,Asp_protease_2
gene25414,AstE_AspA
gene1404,ATG16
gene19616,Atg8
G15130,ATP-grasp_2
gene4036,ATP-grasp_3
G15130,ATP-grasp_5
ENSSTOG00000024888,ATP-synt_ab
ENSSTOG00000024888,ATP-synt_ab_N
gene7452,ATP-synt_C
gene6327,ATP-synt_C
ENSSTOG00000027710,ATP-synt_D
ENSSTOG00000032665,ATPase
gene4036,ATPgrasp_ST
gene4036,ATPgrasp_YheCD
ENSSTOG00000019662,ATP_bind_1
G1657,Atrophin-1
gene25784,Auts2
gene11598,Auts2
gene10332,A_deaminase
gene10333,A_deaminase
gene18229,B12D
gene4976,BAAT_C
gene4975,BAAT_C
gene9622,BAAT_C
gene5561,Bacillus_HBL
gene8075,BACK
gene10885,BACK
gene21252,Baculo_IE-1
gene23492,Baculo_IE-1
gene23871,Baculo_LEF-11
ENSSTOG00000031585,Baculo_PEP_C
G2410,Baculo_PEP_C
G5097,BAF
ENSSTOG00000032913,Band_7
gene22591,BAR_3
ENSSTOG00000024636,BCIP
G29787,Bclt
gene24028,BDHCT_assoc
gene23871,BEN
G39589,Beta_elim_lyase
gene25355,BEX
gene25354,BEX
gene19918,BEX
G30901,BHD_1
gene22941,BHD_1
gene20913,BHD_1
gene3181,BHD_1
gene24365,BHD_1
gene20858,BHD_1
gene4976,Bile_Hydr_Trans
gene9622,Bile_Hydr_Trans
G23507,Bim_N
ENSSTOG00000034900,BIR
G31423,BIRC6
G1156,BLOC1_2
G14653,BLOC1_2
G16136,BofA
G10335,BofA
G22547,BofA
gene25942,BolA
gene25990,BolA
gene20646,BolA
G11891,BolA
gene15084,BolA
gene22760,BolA
gene24558,BolA
gene16897,BolA
gene20647,BolA
gene26287,BolA
gene26309,BolA
gene20866,BolA
gene3181,BolA
G3540,BORCS7
gene10637,Branch
gene10638,Branch
gene8457,BRE1
G18954,BRE1
gene22565,BRE1
gene18556,Brix
gene10439,Bromodomain
gene9715,Bromodomain
ENSSTOG00000004766,Bromo_TP
gene26308,Bromo_TP
gene22565,BST2
G22785,BT1
gene10885,BTB
gene8075,BTB
gene25249,BTB_2
ENSSTOG00000020317,BTB_2
ENSSTOG00000024562,BTG
G4259,BUD22
gene6295,BUD22
ENSSTOG00000022469,bZIP_1
G31061,c-SKI_SMAD_bind
G11710,c-SKI_SMAD_bind
G26929,C1-set
G26923,C1-set
G26914,C1-set
G26911,C1-set
gene21406,C1-set
gene21407,C1-set
gene2857,C1-set
gene2858,C1-set
gene3651,C1-set
gene23496,C1-set
gene2867,C1-set
gene21492,C1-set
ENSSTOG00000025614,C1-set
gene21232,C1-set
gene21490,C1-set
gene25964,C1-set
gene23498,C1-set
gene21237,C1-set
gene21227,C1-set
gene21491,C1-set
gene21226,C1-set
gene2860,C1-set
gene21239,C1-set
ENSSTOG00000027066,C1-set
gene21489,C1-set
G29640,C1-set
gene23650,C1-set
gene23644,C1-set
gene23646,C1-set
gene23649,C1-set
gene26348,C1-set
gene23641,C1-set
gene4398,C1-set
gene25407,C1-set
gene25797,C1-set
gene20081,C1q
G24327,C1q
gene22577,C1_1
gene24418,C1_1
gene22670,C1_1
gene24424,C1_1
gene3225,C1_1
gene24367,C1_1
gene18542,C1_1
gene25907,C1_1
gene16833,C1_1
gene24029,C1_1
gene22466,C1_1
gene18538,C1_1
gene24369,C1_1
ENSSTOG00000032983,C1_1
G11891,C1_1
gene26188,C1_1
gene10862,C1_1
