unique_gene_symbol,hy_LRT_padj,fore_LRT_padj,med_LRT_padj,adr_LRT_padj,liv_LRT_padj,kid_LRT_padj,cluster_f,cluster_h,cluster_m,gene_id,source,orf_len,exons,rna_len,novel,min_sig,domains,br_expr,nonbr_expr,transcript_id,majiq_directed
ENSSTOG00000032306,NA,NA,6.880636775420058e-7,0.09719857248491486,NA,3.2746342334914554e-10,filtered,filtered,Cold_high_EL,ENSSTOG00000032306,reference,44,2,636,0,6.880636775420058e-7,0,1,1,TU32290,1
ENSSTOG00000032827,NA,NA,1.8452595385594754e-4,NA,NA,NA,filtered,filtered,Unassigned,ENSSTOG00000032827,reference,99,2,1046,0,1.8452595385594754e-4,0,1,0,ENSSTOT00000032033,0
ENSSTOG00000034050,0.002626891735826952,0.37571610538790134,2.437811448808853e-4,NA,NA,NA,insig,insig,Winter_low,ENSSTOG00000034050,reference,344,4,7214,0,2.437811448808853e-4,0,1,0,TU44309,1
ENSSTOG00000034702,8.816685409118052e-79,8.329740075521627e-54,1.7608173638860537e-84,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000034702,reference,188,2,2555,0,1.7608173638860537e-84,0,1,0,ENSSTOT00000032206,0
G10765,8.97082691007594e-7,1.4869741019310896e-4,2.241458102152057e-4,1.0390459142562117e-7,NA,1.028991011486109e-5,IBA_low,IBA_low,IBA_low,G10765,reference,112,1,3968,1,8.97082691007594e-7,0,1,1,TU18337,0
G1083,1.1251752398478916e-4,NA,1.171913905177188e-4,NA,NA,NA,filtered,Cold_high_EM,Cold_high_EH,G1083,reference,133,2,984,1,1.1251752398478916e-4,0,1,0,TU1856,0
G10940,NA,NA,3.808509681156102e-11,0.024426654650850563,NA,1.5680900421976445e-13,filtered,filtered,Cold_high_EL,G10940,reference,173,2,10656,1,3.808509681156102e-11,0,1,1,TU18765,0
MIR4453HG_containing,7.611109306804543e-4,4.61683784835418e-5,9.312479369939219e-11,0.24054536725373216,NA,0.40732176698517897,Unassigned,Cold_low_EM,Cold_low_EM,G11250,human_blastn,69,1,3712,1,9.312479369939219e-11,0,1,1,TU19241,0
G11412,NA,NA,2.613058562507958e-5,0.6336652337304444,NA,NA,filtered,filtered,Cold_low_EL,G11412,reference,3,1,296,1,2.613058562507958e-5,0,1,1,TU19505,0
ZNF83_containing_G11891,0.0030216578059096603,0.026754249784396656,5.5392086189909514e-6,0.036627706500052856,0.877210281745808,0.07441950738961353,insig,insig,Cold_low_EM,G11891,human_blastn,400,4,5341,1,5.5392086189909514e-6,1,1,1,TU20447,0
G1274,1.3085734154442496e-5,0.03729694981123831,2.7218281197929995e-5,0.13701722540741562,0.5064380938911665,0.003972439884965012,insig,Cold_low_EL,Cold_low_EL,G1274,reference,137,1,2205,1,1.3085734154442496e-5,0,1,1,TU2152,0
G13022,NA,1.1433874507368803e-8,3.7430227018761244e-7,NA,5.995894496062082e-20,NA,Cold_low_EH,filtered,Winter_low,G13022,reference,317,1,11079,1,1.1433874507368803e-8,0,1,1,TU22469,0
G13329,1.0469644618707088e-12,2.417324885562429e-6,1.0920848614903601e-12,NA,NA,NA,Winter_low,Winter_low,Winter_low,G13329,reference,130,1,6614,1,1.0469644618707088e-12,0,1,0,TU22998,0
MIR138-2_containing,1.0171997619830895e-21,4.386016384161051e-13,2.8241072868233866e-40,NA,NA,NA,Cold_low_EM,Cold_low_EH,Cold_low_EH,G13577,human_blastn,201,1,4304,1,2.8241072868233866e-40,0,1,0,TU23430,0
G136,0.18804908961665556,0.9276692856275401,4.3051464834821145e-5,8.982227279390197e-4,NA,0.003163819325130275,insig,insig,Unassigned,G136,reference,133,1,7468,1,4.3051464834821145e-5,0,1,1,TU195,0
G1404,5.118861559123033e-12,2.56509352436294e-13,2.9848513943764524e-6,NA,NA,NA,Cold_high_EH,Cold_high_EH,Cold_high_EH,G1404,reference,80,1,3915,1,2.56509352436294e-13,0,1,0,TU2391,0
G14318,NA,NA,7.287823656466084e-18,1.2441706529235614e-8,NA,NA,filtered,filtered,Cold_high_EH,G14318,reference,60,1,458,1,7.287823656466084e-18,0,1,1,TU24608,0
HSPH1,0.01105172111659418,0.14273872217295128,7.452080974005678e-4,4.167870202666321e-14,NA,0.001383530815718835,insig,insig,Unassigned,G14484,human_blastn,193,1,612,1,7.452080974005678e-4,0,1,1,TU24892,0
G14901,1.576591465436061e-4,1.860231932151674e-8,1.6559418715833852e-11,8.10005741200672e-6,NA,NA,Cold_low_EL,Cold_low_EL,Cold_low_EL,G14901,reference,114,1,4028,1,1.6559418715833852e-11,0,1,1,TU25506,0
G14950,2.239903463773816e-84,4.395841176664534e-23,2.2870547502948636e-65,2.1611473558159962e-17,9.512113448184093e-11,9.769559717696313e-5,Cold_low_EM,Cold_low_EM,Cold_low_EM,G14950,reference,57,1,5691,1,2.239903463773816e-84,0,1,1,TU25593,0
KBTBD8_containing,0.11432876842105874,0.12700036608565854,3.3805014015793864e-4,0.5408908103343602,NA,0.025972872996679993,insig,insig,Winter_low,G15113,human_blastn,78,1,2515,1,3.3805014015793864e-4,0,1,1,TU25896,0
G15124,5.846155192072226e-8,1.7722159079010456e-4,8.141277231494834e-4,0.015835506745037576,0.6409717606453119,0.2636007221738958,Cold_high_EM,Cold_high_EH,Cold_high_EM,G15124,reference,119,5,1449,1,5.846155192072226e-8,1,1,1,TU25912,0
PPP4R2_G15164,3.44474297073682e-4,0.08284500590137492,1.4958157121237626e-4,0.08131247377933691,0.03304194670538088,9.520085295560413e-5,insig,Cold_low_EL,Cold_low_EM,G15164,human_blastn,74,1,1638,1,1.4958157121237626e-4,0,1,1,TU25983,0
RYBP_like,1.3358453383393092e-22,1.1959746991901388e-10,9.879521382996921e-22,0.1538951712293167,6.80802589901417e-5,5.602023125137323e-5,Cold_low_EL,Cold_low_EL,Cold_low_EM,G15167,human_blastn,133,4,4156,1,1.3358453383393092e-22,0,1,1,TU25988,0
SHQ1_like,0.3088587385335563,0.0653667945199139,1.548268985143177e-5,0.032203005009231685,2.545348788848489e-7,0.0015508457968105387,insig,insig,Winter_high,G15208,human_blastn,544,11,1809,1,1.548268985143177e-5,1,1,1,TU26063,0
G15443,1.2770450873155865e-6,NA,5.407690255217554e-4,0.17834484907071896,0.0018098194863441514,0.31080966262306253,filtered,Winter_high,Winter_high,G15443,reference,29,1,531,1,1.2770450873155865e-6,0,1,1,TU26444,0
G15624,0.01618545492481083,0.02260729484167586,1.9704999287728018e-5,0.9868070466174196,NA,0.06784264042041079,insig,insig,Winter_low,G15624,reference,108,1,2904,1,1.9704999287728018e-5,1,1,1,TU26734,0
G15924,NA,NA,3.036974539459171e-8,7.870130245413856e-11,NA,2.614758484926976e-34,filtered,filtered,Cold_high_EL,G15924,reference,29,1,327,1,3.036974539459171e-8,0,1,1,TU27206,0
G16353,2.4915716055141684e-17,3.7760257860906327e-10,4.0952336206339875e-16,1.327590937296902e-10,1.622198554336428e-22,3.4763505929837317e-5,Cold_low_EM,Cold_low_EM,Cold_low_EM,G16353,reference,159,1,4806,1,2.4915716055141684e-17,0,1,1,TU27864,0
G16444,1.3854461287101927e-29,1.3262304694743377e-10,1.3835623804542045e-33,2.6045956635755075e-4,1.033877454688836e-17,0.40220745748135517,Cold_low_EH,Cold_low_EM,Cold_low_EM,G16444,reference,86,1,8301,1,1.3835623804542045e-33,0,1,1,TU28037,0
AACSP1_containing,5.983153961322469e-21,2.6259659029968576e-26,6.795341606731455e-27,NA,6.618038599560905e-30,4.319330292612373e-5,Cold_low_EL,IBA_high,Cold_low_EL,G17383,human_blastn,142,1,5675,1,6.795341606731455e-27,0,1,1,TU29536,0
G17390,9.958175660089126e-22,4.878936056944418e-5,3.206930122853596e-5,0.28225280009202997,NA,NA,Unassigned,Cold_high_EM,Cold_high_EH,G17390,reference,69,1,7167,1,9.958175660089126e-22,0,1,1,TU29547,0
G18650,2.2383567408530282e-70,8.008605599885387e-28,6.986654385389474e-13,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,G18650,reference,148,1,4095,1,2.2383567408530282e-70,0,1,0,TU31642,0
G18683,1.1203613019692351e-8,0.27803190215609436,7.195552681620325e-6,3.977794120633137e-4,1.5874651659105502e-8,0.024357853378406766,insig,Winter_low,Winter_low,G18683,reference,64,1,236,1,1.1203613019692351e-8,1,1,1,TU31684,0
G21728,0.001600292657088936,0.00926433958573241,4.609867289388365e-25,1.2351613503804987e-21,NA,NA,insig,insig,Cold_low_EM,G21728,reference,72,1,3457,1,4.609867289388365e-25,0,1,1,TU36936,0
G22451,1.3599427564188726e-20,0.021451627402984574,9.654239136876422e-7,0.20942447263523994,NA,0.17152040491282367,insig,Winter_low,Winter_low,G22451,reference,61,1,3015,1,1.3599427564188726e-20,0,1,1,TU38203,0
G22579,7.192774840825249e-5,1.3632653391868643e-5,2.671594241086998e-6,4.579322973125295e-4,NA,0.02465247499373266,Cold_high_EH,Cold_high_EH,Cold_high_EH,G22579,reference,50,3,2736,1,2.671594241086998e-6,1,1,1,TU38400,0
G22711,NA,NA,1.1621781012196692e-6,NA,NA,0.8676387033559299,filtered,filtered,Unassigned,G22711,reference,76,1,2224,1,1.1621781012196692e-6,0,1,1,TU38629,0
KIAA1958_containing,2.1463671203680903e-14,2.454692688431894e-4,3.2674853513319335e-6,0.0015151593032554798,NA,0.03473937844762256,Cold_low_EM,Cold_low_EM,Winter_low,G23069,human_blastn,68,1,5831,1,2.1463671203680903e-14,0,1,1,TU39257,0
G23238,NA,NA,1.5988708466799196e-7,NA,NA,0.6451151995500131,filtered,filtered,Winter_low,G23238,reference,188,1,3756,1,1.5988708466799196e-7,0,1,1,TU39589,0
MIR219A2_containing,6.1589357626779765e-19,6.336340552571358e-48,1.061569730727168e-43,NA,NA,NA,Cold_low_EH,Cold_low_EH,Cold_low_EM,G23342,human_blastn,120,1,1008,1,6.336340552571358e-48,0,1,0,TU39762,0
G23925,0.3137676467772656,7.377917602524962e-6,3.9156670633502973e-4,5.8562627711411915e-5,NA,NA,Cold_low_EM,insig,Cold_low_EL,G23925,reference,186,1,10551,1,7.377917602524962e-6,0,1,1,TU40979,0
G24004,0.0059343821567069905,0.002360471744751062,1.611082679276811e-4,NA,NA,NA,insig,insig,Winter_high,G24004,reference,113,2,3968,1,1.611082679276811e-4,0,1,0,TU41135,0
G25234,NA,NA,1.447790466266093e-6,NA,NA,NA,filtered,filtered,Cold_high_EL,G25234,reference,22,1,203,1,1.447790466266093e-6,0,1,0,TU43187,0
G26032,2.7441683634349706e-7,1.1647349655017033e-7,7.848932349461071e-7,0.09535426397305556,NA,0.036620720100873014,Winter_low,Winter_low,Winter_low,G26032,reference,87,1,1372,1,1.1647349655017033e-7,0,1,1,TU44527,0
G2696,0.22990557430552397,0.017370156504297983,1.5891127711494763e-6,1.4568946087513682e-7,NA,6.049273718042948e-7,insig,insig,Cold_low_EM,G2696,reference,63,1,3630,1,1.5891127711494763e-6,0,1,1,TU4716,0
G27537,0.0020975563926327184,7.922402928373309e-4,6.723606707010941e-5,0.005521615172835038,5.749987392969112e-7,1.947137571975391e-4,Winter_high,insig,IBA_high,G27537,reference,34,1,1393,1,6.723606707010941e-5,0,1,1,TU47036,0
G27581,NA,0.0645421141604575,8.076991885944132e-12,0.029765129953518862,NA,3.408909875437065e-34,insig,filtered,Cold_high_EL,G27581,reference,22,1,293,1,8.076991885944132e-12,0,1,1,TU47105,0
G27632,1.720783813994285e-4,4.2152694895747216e-15,5.302133193633872e-5,NA,NA,NA,IBA_low,IBA_low,Unassigned,G27632,reference,107,2,5756,1,4.2152694895747216e-15,0,1,0,TU47199,0
G28963,NA,NA,2.5528323971540496e-5,0.011058546345113216,NA,0.002957063428505517,filtered,filtered,Cold_high_EL,G28963,reference,45,1,287,1,2.5528323971540496e-5,0,1,1,TU49548,0
G2995,5.443644442233613e-4,1.5330194811855662e-4,2.3363203373185736e-9,2.8800026295039256e-8,NA,NA,Cold_low_EM,Cold_low_EM,Winter_low,G2995,reference,103,1,1657,1,2.3363203373185736e-9,0,1,1,TU5183,0
TSHZ2_G30132,1.787793049616741e-19,8.416368187155491e-13,5.163419998457854e-6,0.6889241543639921,NA,NA,Winter_low,Winter_low,Winter_low,G30132,human_blastn,153,1,5683,1,1.787793049616741e-19,0,1,1,TU51500,0
G30823,NA,2.0740733599816324e-16,1.0205121724291816e-21,0.04895775502805751,3.8784813714084634e-15,8.352490658314034e-17,Cold_low_EM,filtered,Cold_low_EM,G30823,reference,39,1,383,1,1.0205121724291816e-21,0,1,1,TU52719,0
MIR124-2HG_containing,4.285244046919663e-31,3.3282955828955224e-13,4.823661387227755e-16,NA,NA,NA,Cold_low_EH,Unassigned,Cold_low_EH,G31277,human_blastn,56,1,3906,1,4.285244046919663e-31,0,1,0,TU53431,0
G3182,1.1589085417847205e-34,2.3493907998457226e-17,1.1030797087607943e-22,0.8668827775086076,1.0937429588491043e-6,0.07468351871065165,Cold_low_EM,Cold_low_EM,Cold_low_EM,G3182,reference,127,1,3118,1,1.1589085417847205e-34,0,1,1,TU5493,0
G32610,6.27087198828423e-14,1.826740610406698e-4,7.005750011771366e-25,0.21237272898025059,NA,0.49207598354054355,Cold_low_EM,Cold_low_EM,Cold_low_EM,G32610,reference,70,2,1203,1,7.005750011771366e-25,0,1,1,TU55694,0
G32880,3.613741441287207e-7,4.159502013155442e-10,3.980064352069771e-5,1.075234539211026e-5,1.0555986218318264e-11,0.008682325759533878,Cold_high_EM,Winter_high,Cold_high_EM,G32880,reference,41,1,684,1,4.159502013155442e-10,0,1,1,TU56175,0
G33032,9.306610744920847e-12,3.4641899197510584e-6,1.4742660249885346e-5,NA,NA,8.702574938820321e-4,Cold_high_EM,Cold_high_EH,Cold_high_EM,G33032,reference,176,1,2795,1,9.306610744920847e-12,0,1,1,TU56468,0
TCEANC_containing,0.01604058521005972,0.3928128881846631,2.577200279305577e-4,0.10022759848574549,0.008730295219332591,0.8411548027002753,insig,insig,Winter_low,G3410,human_blastn,352,1,4283,1,2.577200279305577e-4,1,1,1,TU5862,0
TMSB4X_G3417,5.827620345356835e-6,9.899490993659407e-6,9.462762146051408e-4,1.4385163240335456e-5,0.07320898974812094,0.026373333600477587,Unassigned,Cold_high_EH,Unassigned,G3417,human_blastn,44,3,654,1,5.827620345356835e-6,0,1,1,TU5871,0
GEMIN8_like,0.0813647993800964,0.15174327497868906,9.419442729066964e-5,0.1226298327969439,0.04365779681149727,0.9695765926011953,insig,insig,Cold_high_EM,G3426,human_blastn,252,4,1728,1,9.419442729066964e-5,1,1,1,TU5901,0
GPM6B_like,1.6875232636933468e-6,0.018871791435736834,3.370159215428524e-5,0.11505008839878508,NA,0.037025188911796965,insig,Winter_low,Winter_low,G3451,human_blastn,328,8,4013,1,1.6875232636933468e-6,1,1,1,TU5943,0
PIR_like,1.551100834666349e-10,6.300519692640222e-7,1.4620617390676306e-7,2.557414186956192e-12,2.2811049282479487e-4,0.14659613226927548,Cold_high_EH,Cold_high_EM,Cold_high_EH,G3466,human_blastn,359,10,1881,1,1.551100834666349e-10,1,1,1,TU5973,0
RBBP7,8.769465596327588e-15,0.0012251430567753372,2.729134171209137e-6,0.2099444890149462,0.020476765832199015,0.35597534611568205,insig,Winter_high,Winter_high,G3473,human_blastn,425,12,1967,1,8.769465596327588e-15,0,1,1,TU5989,0
G34888,NA,9.461114090392622e-8,2.002188555181131e-20,0.02011739601959861,1.6651773035944554e-16,2.2540651363141743e-12,Cold_low_EM,filtered,Cold_low_EM,G34888,reference,125,1,418,1,2.002188555181131e-20,0,1,1,TU59690,0
SERP1,3.1825766730928693e-7,0.032702309951845115,4.201347871537285e-4,0.0017844862956033802,3.3317049024469367e-7,0.0023869676927886305,insig,IBA_high,Cold_low_EM,G35207,human_blastn,87,1,2094,1,3.1825766730928693e-7,0,1,1,TU60161,0
PHKA2_like,6.303865896216019e-7,1.4005105346320265e-5,1.4042925323598206e-4,0.1674440636093646,2.4053955658941086e-8,0.24223568340781015,IBA_low,IBA_low,IBA_low,G3522,human_blastn,1237,33,7458,1,6.303865896216019e-7,1,1,1,TU6119,0
PFN2_containing,0.04262256204719099,0.12614342763691708,3.9383529779996957e-5,0.9126133966276453,NA,0.8030378013438229,insig,insig,Winter_high,G35224,human_blastn,71,2,2432,1,3.9383529779996957e-5,0,1,1,TU60190,0
G35463,6.0770016422075165e-6,0.009659998708286753,1.2161600927174427e-12,NA,0.6042339730616411,NA,insig,Unassigned,Winter_low,G35463,reference,136,2,5827,1,1.2161600927174427e-12,0,1,1,TU60569,0
ID4,5.2068351466255916e-14,0.012895022012852392,1.7598950041256583e-4,NA,NA,0.4947489563974693,insig,IBA_low,IBA_low,G36147,human_blastn,58,1,3117,1,5.2068351466255916e-14,0,1,1,TU61771,0
PTCHD4_containing,7.772591055302876e-5,1.6047298600719825e-6,1.2363459522326484e-5,NA,NA,NA,Cold_low_EM,Cold_low_EL,Cold_low_EL,G37103,human_blastn,71,1,7016,1,1.6047298600719825e-6,0,1,0,TU63303,0
NPM1_G37307,3.590032410243767e-12,0.0015048498375482976,2.362603456796368e-7,0.0020160172960523846,0.007033906164403782,0.050396933828284314,insig,Winter_high,Winter_high,G37307,human_blastn,110,1,390,1,3.590032410243767e-12,0,1,1,TU63634,0
G38032,0.002798402419158598,0.005272786119810114,6.014454876534895e-11,0.02434521279602416,5.334526299305748e-7,0.044975806122849245,insig,insig,Cold_low_EH,G38032,reference,150,1,9277,1,6.014454876534895e-11,0,1,1,TU64874,0
PRR18_containing,3.77560001049351e-5,4.930214920946926e-4,6.979340499686917e-16,NA,NA,0.42809879787986693,Winter_low,Winter_low,Winter_low,G38187,human_blastn,116,1,2846,1,6.979340499686917e-16,0,1,1,TU65106,0
G38373,6.218844684168221e-4,6.070777002675578e-5,6.687872470685977e-4,5.61238405424209e-5,NA,3.683075354433026e-4,Cold_high_EH,Cold_high_EH,IBA_low,G38373,reference,86,1,3988,1,6.070777002675578e-5,0,1,1,TU65384,0
TOMM20_like_G38522,0.001280682300996949,0.0011761845529278283,8.072478138451825e-6,0.45026659882171977,0.9019003460402476,0.5384548653424939,insig,insig,Winter_high,G38522,human_blastn,145,1,948,1,8.072478138451825e-6,1,1,1,TU65639,0
G3859,1.7177127326468727e-32,2.2428248367256743e-5,1.2121781397355343e-18,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,G3859,reference,99,1,8007,1,1.7177127326468727e-32,0,1,0,TU6718,0
G3860,1.2267736947486629e-26,6.005180196490251e-13,3.0130654793850535e-32,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,G3860,reference,78,1,3381,1,3.0130654793850535e-32,0,1,0,TU6719,0
G3868,7.811568167955487e-8,0.037381947143816104,8.989433178918424e-4,NA,NA,NA,insig,Winter_low,Winter_low,G3868,reference,118,1,6081,1,7.811568167955487e-8,0,1,0,TU6733,0
G38760,0.0650718023944203,0.08012147878815862,1.1859381591068504e-11,4.6171372797834816e-4,0.01732577479654296,8.74753380107377e-4,insig,insig,Cold_low_EM,G38760,reference,91,1,5938,1,1.1859381591068504e-11,0,1,1,TU66070,0
MIR29B2CHG_containing_G39119,1.3364009643456855e-90,1.936871052607573e-209,2.8823567140682627e-143,4.111603397495227e-9,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,G39119,human_blastn,107,1,3727,1,1.936871052607573e-209,0,1,1,TU66661,0
G3936,5.128956269179437e-4,NA,1.0302031473504832e-5,0.0010575661744975514,NA,NA,filtered,Cold_low_EM,Winter_low,G3936,reference,63,1,1585,1,1.0302031473504832e-5,0,1,1,TU6824,0
G3940,4.125613684735313e-10,0.008086542018241777,3.444252147060949e-4,NA,NA,NA,insig,IBA_low,Unassigned,G3940,reference,203,3,8610,1,4.125613684735313e-10,0,1,0,TU6830,0
ZBTB37_like,4.7820088991879365e-18,3.793835006206965e-8,1.2695660778881878e-7,4.7162844888449856e-4,NA,0.0031529467929114225,Cold_low_EM,Cold_low_EM,Cold_low_EM,G39527,human_blastn,97,1,2356,1,4.7820088991879365e-18,0,1,1,TU67323,0
G39779,NA,NA,6.352823691390031e-7,0.0065584796021833066,NA,0.5637337895579709,filtered,filtered,Cold_high_EL,G39779,reference,60,1,586,1,6.352823691390031e-7,0,1,1,TU67808,0
G40490,6.133024052906111e-41,1.2872207433044802e-38,7.59269205022969e-30,9.690929258645812e-13,1.7499158996600788e-12,3.464966837933267e-11,Cold_low_EL,Cold_low_EM,Cold_low_EM,G40490,reference,115,1,4522,1,6.133024052906111e-41,0,1,1,TU69134,0
G41041,0.0022727460789907605,0.038239816151834596,7.29771064269476e-20,5.538527176092405e-14,NA,0.19336409908996524,insig,insig,Cold_low_EM,G41041,reference,196,1,6250,1,7.29771064269476e-20,0,1,1,TU70060,0
NEFL,0.03437118608538667,0.7800968975665878,1.6805700121358118e-5,NA,NA,NA,insig,insig,Unassigned,G4398,human_blastn,50,1,274,1,1.6805700121358118e-5,0,1,0,TU7583,0
ATF6_containing,1.4635938775052806e-21,9.677955927269376e-7,5.262696105109512e-5,0.7239801564562496,0.2515378246999497,0.0022438576992021885,Winter_high,Winter_high,Winter_high,G4936,human_blastn,92,2,5724,1,1.4635938775052806e-21,0,1,1,TU8418,0
G5128,0.19205948186245558,0.2126582447652452,1.1164764861376161e-9,2.8045595923733256e-4,3.439613478285619e-8,0.01760420331888704,insig,insig,Cold_low_EM,G5128,reference,53,1,3987,1,1.1164764861376161e-9,0,1,1,TU8727,0
G5304,0.07536413219343183,4.975731884441858e-5,1.1495086386036174e-6,0.15334699229133217,0.7244092004503914,0.10695328490721334,Unassigned,insig,Winter_low,G5304,reference,58,2,1134,1,1.1495086386036174e-6,0,1,1,TU9064,0
G5507,NA,NA,1.047253101587013e-4,0.002108243318242615,NA,0.1476510137354146,filtered,filtered,Cold_high_EL,G5507,reference,44,1,361,1,1.047253101587013e-4,0,1,1,TU9388,0
G5599,NA,NA,6.71370285300461e-14,8.35563698448793e-15,NA,NA,filtered,filtered,Cold_high_EL,G5599,reference,37,1,201,1,6.71370285300461e-14,0,1,1,TU9579,0
G5954,NA,NA,1.7848943606391937e-4,NA,NA,NA,filtered,filtered,Unassigned,G5954,reference,59,1,3422,1,1.7848943606391937e-4,0,1,0,TU10287,0
G613,NA,1.814168007970429e-5,1.1145764369929581e-4,0.9461063182553014,0.49904761279443965,0.6268360981360538,Cold_high_EL,filtered,Cold_high_EL,G613,reference,23,1,243,1,1.814168007970429e-5,0,1,1,TU1051,0
G6222,1.394401201597135e-7,8.708382367239061e-5,1.1626177813535667e-15,7.65316507429261e-15,2.0224526184580554e-17,2.6811398977954643e-15,Cold_low_EL,Cold_low_EL,Cold_low_EL,G6222,reference,9,2,271,1,1.1626177813535667e-15,0,1,1,TU10747,0
G652,NA,NA,1.1360984224337784e-27,0.017050809954346827,5.627614953591124e-8,0.0131026323496745,filtered,filtered,Cold_low_EM,G652,reference,133,1,7495,1,1.1360984224337784e-27,0,1,1,TU1118,0
MIR101-1_containing,2.3060117804410733e-66,2.6670821569522284e-47,6.200878326637943e-155,5.382034416438881e-18,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,G7048,human_blastn,49,1,1516,1,6.200878326637943e-155,0,1,1,TU12146,0
ZZZ3_containing,0.0026826335996212513,0.5154619625865865,8.375722628858448e-6,0.8532891253121447,NA,0.2678728739970705,insig,insig,Cold_high_EH,G7198,human_blastn,60,1,3793,1,8.375722628858448e-6,0,1,1,TU12397,0
G7743,NA,NA,8.172543700734387e-6,0.0037009672898424355,NA,0.016161226148074564,filtered,filtered,Cold_high_EM,G7743,reference,23,1,252,1,8.172543700734387e-6,0,1,1,TU13331,0
G826,NA,NA,1.653888176423355e-4,NA,NA,NA,filtered,filtered,IBA_low,G826,reference,122,1,775,1,1.653888176423355e-4,0,1,0,TU1407,0
G83,NA,3.7468279751529964e-6,1.0719801819117324e-5,4.226226661664307e-4,NA,3.5446718967274587e-11,Cold_high_EL,filtered,Cold_high_EL,G83,reference,29,1,373,1,3.7468279751529964e-6,0,1,1,TU115,0
